columna,nombre_amigable
Edad,Edad
Genero,Genero
EstadoCivil,Estado Civil
ProgramaAcademico,Programa Academico
Semestre,Semestre
PromedioAnterior,Promedio Anterior
FrecuenciaSuspenderEstudios,Frecuencia de Pensar en Suspender Estudios
EnfermedadFisica,Enfermedad Fisica
TratamientoFarmacologico,Tratamiento Farmacologico
CrisisConvulcionEpilepsia,Sufre de Crisis o Convulciones o Epilepsia?
InfeccionCerebral,Infeccion Cerebral
EnfermedadNeurologica,Enfermedad Neurologica
ProblemasCardiovasculares,Problemas Cardiovasculares
ProblemasVision,Problemas Vision
ProblemasAudicion,Problemas Audicion
Embarazo,Embarazo
ProblemasDigestivos,Problemas Digestivos
ProblemasRespiratorios,Problemas Respiratorios
OvarioPoliquistico,Ovario Poliquistico
Cafeina,Cafeina
BebidasEnergizantes,Bebidas Energizantes
Tabaco,Tabaco
Alcohol,Alcohol
Cannabis,Cannabis
OtrosEstimulantes,Otros Estimulantes
Inhalantes,Inhalantes
Tranquilizantes,Tranquilizantes
Opiaceos,Opiaceos
Alucinogenos,Alucinogenos
Cocaina,Cocaina
AntecedentesFamiliares,Antecedentes Familiares de Cefalea
LugarDolor,Lugar del Dolor
IntensidadDolor,Intensidad del Dolor
DuracionDolor,Duracion del Dolor
FrecuenciaDolor,Frecuencia del Dolor
Ruido/Luz,Sintoma Cefalea: Sensibilidad al Ruido/Luz 
Nauseas,Sintoma Cefalea: Nauseas
EdemaOcular,Sintoma Cefalea: Edema Ocular
Alteraciones,Sintoma Cefalea: Alteraciones Visuales o Sensoriales
EspasmosFaciales,Sintoma Cefalea: Espasmos Faciales
ActividadFisica,Actividad Fisica Empeora el Dolor
InasistenciaDolor,Inasistencia por el Dolor
IndiceDolor,Indice del Dolor
HoraDormir,Hora de Dormir
"TiempoEnDormirse
",Tiempo que tarda en Dormirse
TiempoDeSueno,Tiempo de Sueño
NoDormirEn30Mins,Se Demora mas de 30mins en Dormirse
Despertarse,Se Despierta a mitad del Sueño
LevantarseSanitario,Se Despierta para ir al Baño
NoRespirarBienSueno,No Respira bien mientras Duerme
RoncarRuidosamente,Ronca Ruidosamente
SentirFrio,Siente mucho Frio al Dormir
SentirCalor,Siente mucho Calor al Dormir
Pesadillas,Tiene Pesadillas
DoloresSueno,Siente Dolor al Dormir
MedicinasDormir,Toma Medicinas para Dormir
MantenerseDespierto,Le cuesta Mantenerse Despierto
AnimosParaActividades,Mantener Animos Para Actividades
CalidadSueno,Calidad Sueño
PocoInteres,Tiene Poco Interes en hacer las Cosas
DecaidoDeprimido,Se Siente Decaido o Deprimido
MuchoPocoSueno,Tiene Mucho o Poco Sue o
Cansado,Se Siente Cansado
MuchoPocoApetito,Tiene Mucho o Poco Apetito
SentimientoFracaso,Sentimiento de Fracaso
PocaConcentracion,Se Siente Poca Concentracion
MoverRapidoLento,Siente que se Mueve muy Rapido o Lento
PensamientosSuicidas,Pensamientos Suicidas o Autolesivos
