umap_n_components,umap_n_neighbors,umap_min_dist,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_epsilon,n_clusters,n_outliers,outlier_pct,silhouette,dbcv,avg_persistence,score
2,10,0.05,20,1,0.3,2,0,0.0,0.15794652700424194,0.2463534410550719,0.18309362438914378,0.552233355472665
2,10,0.05,20,1,0.2,2,0,0.0,0.15794652700424194,0.2463534410550719,0.18309362438914378,0.552233355472665
2,10,0.05,20,1,0.1,2,0,0.0,0.15794652700424194,0.2463534410550719,0.18309362438914378,0.552233355472665
2,10,0.05,10,1,0.05,2,0,0.0,0.15794652700424194,0.2463534410550719,0.3278940499870115,0.552233355472665
2,10,0.05,10,1,0.3,2,0,0.0,0.15794652700424194,0.2463534410550719,0.3278940499870115,0.552233355472665
2,10,0.05,10,1,0.2,2,0,0.0,0.15794652700424194,0.2463534410550719,0.3278940499870115,0.552233355472665
2,10,0.05,8,1,0.2,2,0,0.0,0.15794652700424194,0.2463534410550719,0.2924832234803483,0.552233355472665
2,10,0.05,8,1,0.1,2,0,0.0,0.15794652700424194,0.2463534410550719,0.2924832234803483,0.552233355472665
2,10,0.05,8,1,0.3,2,0,0.0,0.15794652700424194,0.2463534410550719,0.2924832234803483,0.552233355472665
2,10,0.05,10,1,0.0,2,0,0.0,0.15794652700424194,0.2463534410550719,0.3278940499870115,0.552233355472665
2,10,0.05,8,1,0.05,2,0,0.0,0.15794652700424194,0.2463534410550719,0.2924832234803483,0.552233355472665
2,10,0.05,8,1,0.0,2,0,0.0,0.15794652700424194,0.2463534410550719,0.2924832234803483,0.552233355472665
2,10,0.05,12,1,0.2,2,0,0.0,0.15794652700424194,0.2463534410550719,0.3278940499870115,0.552233355472665
2,10,0.05,12,1,0.3,2,0,0.0,0.15794652700424194,0.2463534410550719,0.3278940499870115,0.552233355472665
2,10,0.05,12,1,0.05,2,0,0.0,0.15794652700424194,0.2463534410550719,0.3278940499870115,0.552233355472665
2,10,0.05,15,1,0.05,2,0,0.0,0.15794652700424194,0.2463534410550719,0.23750144756565034,0.552233355472665
2,10,0.05,15,1,0.1,2,0,0.0,0.15794652700424194,0.2463534410550719,0.23750144756565034,0.552233355472665
2,10,0.05,12,1,0.0,2,0,0.0,0.15794652700424194,0.2463534410550719,0.3278940499870115,0.552233355472665
2,10,0.05,10,1,0.1,2,0,0.0,0.15794652700424194,0.2463534410550719,0.3278940499870115,0.552233355472665
2,10,0.05,20,1,0.05,2,0,0.0,0.15794652700424194,0.2463534410550719,0.18309362438914378,0.552233355472665
2,10,0.05,15,1,0.0,2,0,0.0,0.15794652700424194,0.2463534410550719,0.23750144756565034,0.552233355472665
2,10,0.05,20,1,0.0,2,0,0.0,0.15794652700424194,0.2463534410550719,0.18309362438914378,0.552233355472665
2,10,0.05,15,1,0.3,2,0,0.0,0.15794652700424194,0.2463534410550719,0.23750144756565034,0.552233355472665
2,10,0.05,15,1,0.2,2,0,0.0,0.15794652700424194,0.2463534410550719,0.23750144756565034,0.552233355472665
2,10,0.05,12,1,0.1,2,0,0.0,0.15794652700424194,0.2463534410550719,0.3278940499870115,0.552233355472665
2,20,0.0,20,3,0.1,3,24,9.195402298850574,0.07668212056159973,0.25507321536845706,0.06616079553497171,0.5451407996339217
2,20,0.0,20,3,0.0,3,24,9.195402298850574,0.07668212056159973,0.25507321536845706,0.06616079553497171,0.5451407996339217
2,20,0.0,20,3,0.2,3,24,9.195402298850574,0.07668212056159973,0.25507321536845706,0.06616079553497171,0.5451407996339217
2,20,0.0,20,3,0.05,3,24,9.195402298850574,0.07668212056159973,0.25507321536845706,0.06616079553497171,0.5451407996339217
2,20,0.0,20,3,0.3,3,24,9.195402298850574,0.07668212056159973,0.25507321536845706,0.06616079553497171,0.5451407996339217
2,15,0.05,15,3,0.1,5,60,22.988505747126435,0.0587124228477478,0.3647984452244036,0.08070094807256104,0.5187492300226708
2,15,0.05,15,3,0.3,5,60,22.988505747126435,0.0587124228477478,0.3647984452244036,0.08070094807256104,0.5187492300226708
2,15,0.05,15,3,0.0,5,60,22.988505747126435,0.0587124228477478,0.3647984452244036,0.08070094807256104,0.5187492300226708
2,15,0.05,15,3,0.05,5,60,22.988505747126435,0.0587124228477478,0.3647984452244036,0.08070094807256104,0.5187492300226708
2,15,0.05,15,3,0.2,5,60,22.988505747126435,0.0587124228477478,0.3647984452244036,0.08070094807256104,0.5187492300226708
2,5,0.5,12,5,0.3,3,84,32.18390804597701,0.017924074083566666,0.3135826839636396,0.05812498339430819,0.5137538686060368
2,5,0.5,12,5,0.2,3,84,32.18390804597701,0.017924074083566666,0.3135826839636396,0.05812498339430819,0.5137538686060368
2,5,0.5,15,5,0.05,3,84,32.18390804597701,0.017924074083566666,0.3135826839636396,0.058400635277706114,0.5137538686060368
2,5,0.5,15,5,0.1,3,84,32.18390804597701,0.017924074083566666,0.3135826839636396,0.058400635277706114,0.5137538686060368
2,5,0.5,15,5,0.2,3,84,32.18390804597701,0.017924074083566666,0.3135826839636396,0.058400635277706114,0.5137538686060368
2,5,0.5,15,5,0.3,3,84,32.18390804597701,0.017924074083566666,0.3135826839636396,0.058400635277706114,0.5137538686060368
2,5,0.5,12,5,0.0,3,84,32.18390804597701,0.017924074083566666,0.3135826839636396,0.05812498339430819,0.5137538686060368
2,5,0.5,12,5,0.05,3,84,32.18390804597701,0.017924074083566666,0.3135826839636396,0.05812498339430819,0.5137538686060368
2,5,0.5,12,5,0.1,3,84,32.18390804597701,0.017924074083566666,0.3135826839636396,0.05812498339430819,0.5137538686060368
2,5,0.5,15,5,0.0,3,84,32.18390804597701,0.017924074083566666,0.3135826839636396,0.058400635277706114,0.5137538686060368
2,15,0.1,10,1,0.2,3,7,2.681992337164751,0.15309835970401764,0.11309292429754156,0.1473846369093544,0.5128379390002897
2,15,0.1,15,1,0.05,3,7,2.681992337164751,0.15309835970401764,0.11309292429754156,0.18060317097253056,0.5128379390002897
2,15,0.1,15,1,0.2,3,7,2.681992337164751,0.15309835970401764,0.11309292429754156,0.18060317097253056,0.5128379390002897
2,15,0.1,15,1,0.1,3,7,2.681992337164751,0.15309835970401764,0.11309292429754156,0.18060317097253056,0.5128379390002897
2,15,0.1,12,1,0.3,3,7,2.681992337164751,0.15309835970401764,0.11309292429754156,0.19209496759676073,0.5128379390002897
2,15,0.1,15,1,0.3,3,7,2.681992337164751,0.15309835970401764,0.11309292429754156,0.18060317097253056,0.5128379390002897
2,15,0.1,15,1,0.0,3,7,2.681992337164751,0.15309835970401764,0.11309292429754156,0.18060317097253056,0.5128379390002897
2,15,0.1,10,1,0.1,3,7,2.681992337164751,0.15309835970401764,0.11309292429754156,0.1473846369093544,0.5128379390002897
2,15,0.1,10,1,0.3,3,7,2.681992337164751,0.15309835970401764,0.11309292429754156,0.1473846369093544,0.5128379390002897
2,15,0.1,12,1,0.1,3,7,2.681992337164751,0.15309835970401764,0.11309292429754156,0.19209496759676073,0.5128379390002897
2,15,0.1,12,1,0.05,3,7,2.681992337164751,0.15309835970401764,0.11309292429754156,0.19209496759676073,0.5128379390002897
2,15,0.1,10,1,0.05,3,7,2.681992337164751,0.15309835970401764,0.11309292429754156,0.1473846369093544,0.5128379390002897
2,15,0.1,10,1,0.0,3,7,2.681992337164751,0.15309835970401764,0.11309292429754156,0.1473846369093544,0.5128379390002897
2,15,0.1,12,1,0.0,3,7,2.681992337164751,0.15309835970401764,0.11309292429754156,0.19209496759676073,0.5128379390002897
2,15,0.1,12,1,0.2,3,7,2.681992337164751,0.15309835970401764,0.11309292429754156,0.19209496759676073,0.5128379390002897
2,5,0.0,10,7,0.0,2,4,1.532567049808429,0.14505869150161743,0.13905043603247935,0.14337103576386465,0.5043138440386175
2,5,0.0,10,7,0.05,2,4,1.532567049808429,0.14505869150161743,0.13905043603247935,0.14337103576386465,0.5043138440386175
2,5,0.0,12,7,0.2,2,4,1.532567049808429,0.14505869150161743,0.13905043603247935,0.20772436671408398,0.5043138440386175
2,5,0.0,12,7,0.1,2,4,1.532567049808429,0.14505869150161743,0.13905043603247935,0.20772436671408398,0.5043138440386175
2,5,0.0,12,7,0.05,2,4,1.532567049808429,0.14505869150161743,0.13905043603247935,0.20772436671408398,0.5043138440386175
2,5,0.0,12,7,0.3,2,4,1.532567049808429,0.14505869150161743,0.13905043603247935,0.20772436671408398,0.5043138440386175
2,5,0.0,12,7,0.0,2,4,1.532567049808429,0.14505869150161743,0.13905043603247935,0.20772436671408398,0.5043138440386175
2,5,0.0,10,7,0.2,2,4,1.532567049808429,0.14505869150161743,0.13905043603247935,0.14337103576386465,0.5043138440386175
2,5,0.0,10,7,0.1,2,4,1.532567049808429,0.14505869150161743,0.13905043603247935,0.14337103576386465,0.5043138440386175
2,5,0.0,10,7,0.3,2,4,1.532567049808429,0.14505869150161743,0.13905043603247935,0.14337103576386465,0.5043138440386175
2,5,0.0,8,7,0.1,2,4,1.532567049808429,0.14505869150161743,0.13905043603247935,0.18408916531676123,0.5043138440386175
